key,result.system_name,result.delta_effective_time,result.delta_checkpointing,result.delta_redundant_computation,result.delta_reconfig,result.delta_fallback
g4dn,varu-20,70233838.60000144,286176.61705439945,0,587971.9593180002,5910348.250000001
p3,varu-20,66883600.40000154,252364.46524399993,0,884100.9662360001,8152679.1
g4dn,varu-20,59424888.09999965,302740.739555,0,1887996.6384600007,13975994.950000001
p3,varu-20,54730008.799999736,272396.1245489999,0,3248249.5332200015,17693518.849999998
g4dn,varu-20,55565108.00000014,449528.0080660001,0,2718260.7738200016,14838429.550000003
p3,varu-20,43931142.10000037,341086.5434939999,0,4441426.574300003,31421872.750000015
g4dn,oobleck-20,42600360,0,0,0.0,296805.0
p3,oobleck-20,42309140,0,0,0.0,516555.0
g4dn,oobleck-20,41532440,0,0,29050.0,778150.0
p3,oobleck-20,40740430,0,0,64754.0,1321540.0
g4dn,oobleck-20,40758000,0,0,34471.0,1248845.0
p3,oobleck-20,39659760,0,0,73490.0,2200995.0
g4dn,oobleck-opt-20,42771620,0,0,0.0,193755.0
p3,oobleck-opt-20,42537900,0,0,0.0,339245.0
g4dn,oobleck-opt-20,42021000,0,0,29050.0,546025.0
p3,oobleck-opt-20,41723170,0,0,64754.0,928405.0
g4dn,bamboo-20,32876704.227260273,0,8529216.813540041,14609.700000000186,2468933.2979666665
p3,bamboo-20,31833044.2487701,0,8893281.044429995,22123.259999999776,3458257.5250000022
g4dn,varu-20,70233838.60000144,286176.61705439945,0,587971.9593180002,5910348.250000001
p3,varu-20,66883600.40000154,252364.46524399993,0,884100.9662360001,8152679.1
g4dn,varu-20,59424888.09999965,302740.739555,0,1887996.6384600007,13975994.950000001
p3,varu-20,54730008.799999736,272396.1245489999,0,3248249.5332200015,17693518.849999998
g4dn,varu-20,55565108.00000014,449528.0080660001,0,2718260.7738200016,14838429.550000003
p3,varu-20,43931142.10000037,341086.5434939999,0,4441426.574300003,31421872.750000015
g4dn,oobleck-20,42600360,0,0,0.0,296805.0
p3,oobleck-20,42309140,0,0,0.0,516555.0
g4dn,oobleck-20,41532440,0,0,29050.0,778150.0
p3,oobleck-20,40740430,0,0,64754.0,1321540.0
g4dn,oobleck-20,40758000,0,0,34471.0,1248845.0
p3,oobleck-20,39659760,0,0,73490.0,2200995.0
g4dn,oobleck-opt-20,42771620,0,0,0.0,193755.0
p3,oobleck-opt-20,42537900,0,0,0.0,339245.0
g4dn,oobleck-opt-20,42021000,0,0,29050.0,546025.0
p3,oobleck-opt-20,41723170,0,0,64754.0,928405.0
g4dn,oobleck-opt-20,41239910,0,0,34471.0,982841.0
p3,oobleck-opt-20,40156008,0,0,73490.0,1728633.0
g4dn,bamboo-20,32876704.227260273,0,8529216.813540041,14609.700000000186,2468933.2979666665
p3,bamboo-20,31833044.2487701,0,8893281.044429995,22123.259999999776,3458257.5250000022
g4dn,varu-20,70233838.60000144,286176.61705439945,0,587971.9593180002,5910348.250000001
p3,varu-20,66883600.40000154,252364.46524399993,0,884100.9662360001,8152679.1
g4dn,varu-20,59424888.09999965,302740.739555,0,1887996.6384600007,13975994.950000001
p3,varu-20,54730008.799999736,272396.1245489999,0,3248249.5332200015,17693518.849999998
g4dn,varu-20,55565108.00000014,449528.0080660001,0,2718260.7738200016,14838429.550000003
p3,varu-20,43931142.10000037,341086.5434939999,0,4441426.574300003,31421872.750000015
g4dn,oobleck-20,42600360,0,0,0.0,296805.0
p3,oobleck-20,42309140,0,0,0.0,516555.0
g4dn,oobleck-20,41532440,0,0,29050.0,778150.0
p3,oobleck-20,40740430,0,0,64754.0,1321540.0
g4dn,oobleck-20,40758000,0,0,34471.0,1248845.0
p3,oobleck-20,39659760,0,0,73490.0,2200995.0
g4dn,oobleck-opt-20,42771620,0,0,0.0,193755.0
p3,oobleck-opt-20,42537900,0,0,0.0,339245.0
g4dn,oobleck-opt-20,42021000,0,0,29050.0,546025.0
p3,oobleck-opt-20,41723170,0,0,64754.0,928405.0
g4dn,oobleck-opt-20,41239910,0,0,34471.0,982841.0
p3,oobleck-opt-20,40156008,0,0,73490.0,1728633.0
g4dn,livepipe-red1-20,42421180,0,0,18920.0,55418.125
p3,livepipe-red1-20,42202290,0,0,25760.0,74680.0
g4dn,bamboo-20,32876704.227260273,0,8529216.813540041,14609.700000000186,2468933.2979666665
p3,bamboo-20,31833044.2487701,0,8893281.044429995,22123.259999999776,3458257.5250000022
g4dn,varu-20,70233838.60000144,286176.61705439945,0,587971.9593180002,5910348.250000001
p3,varu-20,66883600.40000154,252364.46524399993,0,884100.9662360001,8152679.1
g4dn,varu-20,59424888.09999965,302740.739555,0,1887996.6384600007,13975994.950000001
p3,varu-20,54730008.799999736,272396.1245489999,0,3248249.5332200015,17693518.849999998
g4dn,varu-20,55565108.00000014,449528.0080660001,0,2718260.7738200016,14838429.550000003
p3,varu-20,43931142.10000037,341086.5434939999,0,4441426.574300003,31421872.750000015
g4dn,oobleck-20,42600360,0,0,0.0,296805.0
p3,oobleck-20,42309140,0,0,0.0,516555.0
g4dn,oobleck-20,41532440,0,0,29050.0,778150.0
p3,oobleck-20,40740430,0,0,64754.0,1321540.0
g4dn,oobleck-20,40758000,0,0,34471.0,1248845.0
p3,oobleck-20,39659760,0,0,73490.0,2200995.0
g4dn,oobleck-opt-20,42771620,0,0,0.0,193755.0
p3,oobleck-opt-20,42537900,0,0,0.0,339245.0
g4dn,oobleck-opt-20,42021000,0,0,29050.0,546025.0
p3,oobleck-opt-20,41723170,0,0,64754.0,928405.0
g4dn,oobleck-opt-20,41239910,0,0,34471.0,982841.0
p3,oobleck-opt-20,40156008,0,0,73490.0,1728633.0
g4dn,livepipe-red1-20,42421180,0,0,18920.0,55418.125
p3,livepipe-red1-20,42202290,0,0,25760.0,74680.0
g4dn,livepipe-red1-20,41217190,0,0,44940.0,146077.5
p3,livepipe-red1-20,40837370,0,0,63070.0,193875.625
g4dn,bamboo-20,32876704.227260273,0,8529216.813540041,14609.700000000186,2468933.2979666665
p3,bamboo-20,31833044.2487701,0,8893281.044429995,22123.259999999776,3458257.5250000022
g4dn,varu-20,70233838.60000144,286176.61705439945,0,587971.9593180002,5910348.250000001
p3,varu-20,66883600.40000154,252364.46524399993,0,884100.9662360001,8152679.1
g4dn,varu-20,59424888.09999965,302740.739555,0,1887996.6384600007,13975994.950000001
p3,varu-20,54730008.799999736,272396.1245489999,0,3248249.5332200015,17693518.849999998
g4dn,varu-20,55565108.00000014,449528.0080660001,0,2718260.7738200016,14838429.550000003
p3,varu-20,43931142.10000037,341086.5434939999,0,4441426.574300003,31421872.750000015
g4dn,oobleck-20,42600360,0,0,0.0,296805.0
p3,oobleck-20,42309140,0,0,0.0,516555.0
g4dn,oobleck-20,41532440,0,0,29050.0,778150.0
p3,oobleck-20,40740430,0,0,64754.0,1321540.0
g4dn,oobleck-20,40758000,0,0,34471.0,1248845.0
p3,oobleck-20,39659760,0,0,73490.0,2200995.0
g4dn,oobleck-opt-20,42771620,0,0,0.0,193755.0
p3,oobleck-opt-20,42537900,0,0,0.0,339245.0
g4dn,oobleck-opt-20,42021000,0,0,29050.0,546025.0
p3,oobleck-opt-20,41723170,0,0,64754.0,928405.0
g4dn,oobleck-opt-20,41239910,0,0,34471.0,982841.0
p3,oobleck-opt-20,40156008,0,0,73490.0,1728633.0
g4dn,livepipe-red1-20,42421180,0,0,18920.0,55418.125
p3,livepipe-red1-20,42202290,0,0,25760.0,74680.0
g4dn,livepipe-red1-20,41217190,0,0,44940.0,146077.5
p3,livepipe-red1-20,40837370,0,0,63070.0,193875.625
g4dn,livepipe-red1-20,39654730,0,0,75340.0,268445.625
p3,livepipe-red1-20,38819550,0,0,112670.0,367897.5
